,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Series Publisher,CV Cover Image,CV Issue URL,Days Between Issues
11,Superman: Our Worlds at War Secret Files and Origins,2001,1,Issue,2001-08-31,Comicvine,26406,157428,Superman: Our Worlds at War Secret Files & Origins,2001,1,DC Comics, ,https://comicvine.gamespot.com/superman-our-worlds-at-war-secret-files-origins-1-/4000-157428/,30 days 00:00:00
12,Superman,1987,172,Issue,2001-09-30,Comicvine,3816,70876,Superman,1987,172,DC Comics, ,https://comicvine.gamespot.com/superman-172-death-be-not-proud/4000-70876/,-28 days +00:00:00
13,JLA: Our Worlds at War,2001,1,Issue,2001-09-02,Comicvine,30755,189874,JLA: Our Worlds at War,2001,1,DC Comics, ,https://comicvine.gamespot.com/jla-our-worlds-at-war-1-a-date-which-will-live-in-/4000-189874/,1 days 00:00:00
14,Young Justice,1998,35,Issue,2001-09-03,Comicvine,9420,116684,Young Justice,1998,35,DC Comics, ,https://comicvine.gamespot.com/young-justice-35-war-torn/4000-116684/,27 days 00:00:00
15,Adventures of Superman,1987,594,Issue,2001-09-30,Comicvine,3778,89251,Adventures of Superman,1987,594,DC Comics, ,https://comicvine.gamespot.com/issue/4000-89251/,0 days 00:00:00
16,Nightwing: Our Worlds at War,2001,1,Issue,2001-09-30,Comicvine,30760,189921,Nightwing: Our Worlds at War,2001,1,DC Comics, ,https://comicvine.gamespot.com/nightwing-our-worlds-at-war-1-die-die-and-die-agai/4000-189921/,0 days 00:00:00
17,Superman: Man of Steel,1991,116,Issue,2001-09-30,Comicvine,4571,70797,Superman: The Man of Steel,1991,116,DC Comics, ,https://comicvine.gamespot.com/issue/4000-70797/,-24 days +00:00:00
18,Superboy,1994,90,Issue,2001-09-06,Comicvine,5261,53529,Superboy,1994,90,DC Comics, ,https://comicvine.gamespot.com/issue/4000-53529/,24 days 00:00:00
19,JSA: Our Worlds at War,2001,1,Issue,2001-09-30,Comicvine,30759,189906,JSA: Our Worlds at War,2001,1,DC Comics, ,https://comicvine.gamespot.com/jsa-our-worlds-at-war-1-the-all-stars/4000-189906/,0 days 00:00:00
20,Action Comics,1938,781,Issue,2001-09-30,Comicvine,18005,114231,Action Comics,1938,781,DC Comics, ,https://comicvine.gamespot.com/action-comics-781-thousand-yard-stare/4000-114231/,-29 days +00:00:00
21,Batman,1940,593,Issue,2001-09-01,Comicvine,796,83261,Batman,1940,593,DC Comics, ,https://comicvine.gamespot.com/batman-593-sanctuary-part-one/4000-83261/,29 days 00:00:00
22,Supergirl,1996,60,Issue,2001-09-30,Comicvine,5766,76601,Supergirl,1996,60,DC Comics, ,https://comicvine.gamespot.com/supergirl-60-dropping-in/4000-76601/,-7 days +00:00:00
23,Wonder Woman,1987,172,Issue,2001-09-23,Comicvine,3824,53563,Wonder Woman,1987,172,DC Comics, ,https://comicvine.gamespot.com/wonder-woman-172-her-mothers-daughter/4000-53563/,7 days 00:00:00
24,Wonder Woman: Our Worlds at War,2001,1,Issue,2001-09-30,Comicvine,25374,149824,Wonder Woman: Our Worlds at War,2001,1,DC Comics, ,https://comicvine.gamespot.com/wonder-woman-our-worlds-at-war-1-inspiration/4000-149824/,31 days 00:00:00
25,Superman,1987,173,Issue,2001-10-31,Comicvine,3816,70877,Superman,1987,173,DC Comics, ,https://comicvine.gamespot.com/superman-173-the-red-badge-of-courage/4000-70877/,-29 days +00:00:00
26,Young Justice,1998,36,Issue,2001-10-02,Comicvine,9420,141144,Young Justice,1998,36,DC Comics, ,https://comicvine.gamespot.com/young-justice-36-kissing-on-the-apokolips/4000-141144/,29 days 00:00:00
27,Adventures of Superman,1987,595,Issue,2001-10-31,Comicvine,3778,89252,Adventures of Superman,1987,595,DC Comics, ,https://comicvine.gamespot.com/issue/4000-89252/,0 days 00:00:00
28,Flash: Our Worlds at War,2001,1,Issue,2001-10-31,Comicvine,30757,189894,The Flash: Our Worlds at War,2001,1,DC Comics, ,https://comicvine.gamespot.com/the-flash-our-worlds-at-war-1-time-on-target/4000-189894/,-27 days +00:00:00
29,Impulse,1995,77,Issue,2001-10-04,Comicvine,5509,51890,Impulse,1995,77,DC Comics, ,https://comicvine.gamespot.com/issue/4000-51890/,27 days 00:00:00
30,Superman: Man of Steel,1991,117,Issue,2001-10-31,Comicvine,4571,89236,Superman: The Man of Steel,1991,117,DC Comics, ,https://comicvine.gamespot.com/issue/4000-89236/,-21 days +00:00:00
31,Harley Quinn: Our Worlds at War,2001,1,Issue,2001-10-10,Comicvine,27784,170128,Harley Quinn: Our Worlds at War,2001,1,DC Comics, ,https://comicvine.gamespot.com/harley-quinn-our-worlds-at-war-1-our-fighting-forc/4000-170128/,-2 days +00:00:00
32,Superboy,1994,91,Issue,2001-10-08,Comicvine,5261,116699,Superboy,1994,91,DC Comics, ,https://comicvine.gamespot.com/issue/4000-116699/,3 days 00:00:00
33,Action Comics,1938,782,Issue,2001-10-11,Comicvine,18005,114187,Action Comics,1938,782,DC Comics, ,https://comicvine.gamespot.com/action-comics-782-trial-by-fire/4000-114187/,0 days 00:00:00
34,Wonder Woman,1987,173,Issue,2001-10-11,Comicvine,3824,53564,Wonder Woman,1987,173,DC Comics, ,https://comicvine.gamespot.com/wonder-woman-173-amazons-attack/4000-53564/,20 days 00:00:00
35,Supergirl,1996,61,Issue,2001-10-31,Comicvine,5766,80611,Supergirl,1996,61,DC Comics, ,https://comicvine.gamespot.com/supergirl-61-mondo-bizarre/4000-80611/,-30 days +00:00:00
36,Batman,1940,594,Issue,2001-10-01,Comicvine,796,83262,Batman,1940,594,DC Comics, ,https://comicvine.gamespot.com/batman-594-sanctuary-part-two/4000-83262/,14 days 00:00:00
37,World's Finest: Our Worlds at War,2001,1,Issue,2001-10-15,Comicvine,26553,158812,World's Finest: Our Worlds at War,2001,1,DC Comics, ,https://comicvine.gamespot.com/worlds-finest-our-worlds-at-war-1-finale/4000-158812/,0 days 00:00:00
