,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Series Publisher,CV Cover Image,CV Issue URL,Days Between Issues
492,Hawkworld,1989.0,2,Issue,1989-09-01,Comicvine,4193,31610,Hawkworld,1989,2,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31610/,30 days 00:00:00
493,Hawkworld,1989.0,3,Issue,1989-10-01,Comicvine,4193,31722,Hawkworld,1989,3,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31722/,-273 days +00:00:00
494,Mister Miracle,1989.0,1,Issue,1989-01-01,Comicvine,4203,30813,Mister Miracle,1989,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-30813/,31 days 00:00:00
495,Mister Miracle,1989.0,2,Issue,1989-02-01,Comicvine,4203,30917,Mister Miracle,1989,2,DC Comics, ,https://comicvine.gamespot.com/issue/4000-30917/,28 days 00:00:00
496,Mister Miracle,1989.0,3,Issue,1989-03-01,Comicvine,4203,31015,Mister Miracle,1989,3,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31015/,61 days 00:00:00
497,Mister Miracle,1989.0,4,Issue,1989-05-01,Comicvine,4203,31243,Mister Miracle,1989,4,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31243/,31 days 00:00:00
498,Mister Miracle,1989.0,5,Issue,1989-06-01,Comicvine,4203,31354,Mister Miracle,1989,5,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31354/,30 days 00:00:00
499,Mister Miracle,1989.0,6,Issue,1989-07-01,Comicvine,4203,31464,Mister Miracle,1989,6,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31464/,31 days 00:00:00
500,Mister Miracle,1989.0,7,Issue,1989-08-01,Comicvine,4203,31569,Mister Miracle,1989,7,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31569/,31 days 00:00:00
501,Mister Miracle,1989.0,8,Issue,1989-09-01,Comicvine,4203,31682,Mister Miracle,1989,8,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31682/,30 days 00:00:00
502,Mister Miracle,1989.0,9,Issue,1989-10-01,Comicvine,4203,118540,Mister Miracle,1989,9,DC Comics, ,https://comicvine.gamespot.com/issue/4000-118540/,31 days 00:00:00
